team_id,efg_pct,tov_pct,orb_pct,ftr,win_loss_overall,win_loss_conference,as_of_date,schema_version
Abilene Christian,0.489,0.177,0.326,0.403,3-12,,2026-03-16,1.0
Air Force,0.489,0.198,0.214,0.351,0-12,,2026-03-16,1.0
AkronNCAA,0.588,0.132,0.34,0.277,9-3,,2026-03-16,1.0
AlabamaNCAA,0.554,0.11199999999999999,0.318,0.372,7-3,,2026-03-16,1.0
Alabama A&M,0.496,0.147,0.28,0.449,4-8,,2026-03-16,1.0
Alabama State,0.478,0.155,0.327,0.35,4-15,,2026-03-16,1.0
Albany (NY),0.53,0.156,0.33799999999999997,0.242,4-13,,2026-03-16,1.0
Alcorn State,0.477,0.172,0.26899999999999996,0.318,2-18,,2026-03-16,1.0
American,0.526,0.13699999999999998,0.28300000000000003,0.293,5-10,,2026-03-16,1.0
Appalachian State,0.51,0.128,0.34299999999999997,0.387,7-8,,2026-03-16,1.0
ArizonaNCAA,0.551,0.129,0.381,0.429,9-1,,2026-03-16,1.0
Arizona State,0.511,0.149,0.298,0.395,2-9,,2026-03-16,1.0
ArkansasNCAA,0.565,0.107,0.322,0.364,5-5,,2026-03-16,1.0
Arkansas State,0.526,0.162,0.381,0.386,9-7,,2026-03-16,1.0
Arkansas-Pine Bluff,0.515,0.162,0.293,0.363,6-14,,2026-03-16,1.0
Army,0.498,0.14800000000000002,0.311,0.256,5-10,,2026-03-16,1.0
Auburn,0.523,0.12300000000000001,0.376,0.447,2-8,,2026-03-16,1.0
Austin Peay,0.538,0.132,0.305,0.377,9-7,,2026-03-16,1.0
Ball State,0.482,0.14,0.27,0.321,4-11,,2026-03-16,1.0
Baylor,0.546,0.139,0.377,0.349,3-7,,2026-03-16,1.0
Bellarmine,0.599,0.139,0.231,0.346,2-13,,2026-03-16,1.0
Belmont,0.607,0.157,0.292,0.319,11-3,,2026-03-16,1.0
Bethune-Cookman,0.516,0.168,0.304,0.411,7-11,,2026-03-16,1.0
Binghamton,0.511,0.168,0.218,0.417,1-14,,2026-03-16,1.0
Boise State,0.526,0.146,0.337,0.417,6-5,,2026-03-16,1.0
Boston College,0.47,0.133,0.28300000000000003,0.324,1-10,,2026-03-16,1.0
Boston University,0.581,0.157,0.281,0.315,6-12,,2026-03-16,1.0
Bowling Green,0.535,0.139,0.293,0.377,6-6,,2026-03-16,1.0
Bradley,0.511,0.121,0.27699999999999997,0.369,4-7,,2026-03-16,1.0
Brigham YoungNCAA,0.547,0.13,0.34600000000000003,0.342,3-6,,2026-03-16,1.0
Brown,0.503,0.162,0.303,0.277,3-10,,2026-03-16,1.0
Bryant,0.479,0.17300000000000001,0.285,0.302,1-17,,2026-03-16,1.0
Bucknell,0.485,0.16699999999999998,0.27,0.298,4-12,,2026-03-16,1.0
Buffalo,0.56,0.142,0.278,0.394,8-6,,2026-03-16,1.0
Butler,0.509,0.136,0.34600000000000003,0.421,3-8,,2026-03-16,1.0
Cal Poly,0.519,0.172,0.302,0.35,6-11,,2026-03-16,1.0
Cal State Bakersfield,0.462,0.16,0.307,0.425,2-13,,2026-03-16,1.0
Cal State Fullerton,0.525,0.134,0.254,0.381,6-10,,2026-03-16,1.0
Cal State Northridge,0.509,0.147,0.33299999999999996,0.337,7-8,,2026-03-16,1.0
California,0.52,0.13,0.263,0.375,4-6,,2026-03-16,1.0
California BaptistNCAA,0.486,0.151,0.37799999999999995,0.361,7-7,,2026-03-16,1.0
Campbell,0.515,0.14800000000000002,0.354,0.424,3-13,,2026-03-16,1.0
Canisius,0.467,0.16899999999999998,0.297,0.311,3-13,,2026-03-16,1.0
Central Arkansas,0.543,0.132,0.297,0.301,6-10,,2026-03-16,1.0
Central Connecticut State,0.536,0.14,0.285,0.298,8-8,,2026-03-16,1.0
Central Michigan,0.523,0.16,0.298,0.319,1-15,,2026-03-16,1.0
Charleston Southern,0.55,0.159,0.305,0.302,5-11,,2026-03-16,1.0
Charlotte,0.535,0.156,0.342,0.366,4-8,,2026-03-16,1.0
