source_name,cbs_name,match_type
Abilene Christian,Abilene Chr.,fuzzy
Air Force,Air Force,exact
Akron,Akron,exact
Alabama,Alabama,exact
Alabama A&M,Alabama A&M,exact
Alabama St.,Alabama St.,exact
Albany,UAlbany,fuzzy
Alcorn St.,Alcorn St.,exact
American,American,exact
Appalachian St.,Michigan St.,fuzzy
Arizona,Arizona,exact
Arizona St.,Arizona St.,exact
Arkansas,Arkansas,exact
Arkansas Pine Bluff,Ark.-Pine Bluff,fuzzy
Arkansas St.,Arkansas St.,exact
Army,Army,exact
Auburn,Auburn,exact
Austin Peay,Austin Peay,exact
BYU,BYU,exact
Ball St.,Ball St.,exact
Baylor,Baylor,exact
Bellarmine,Bellarmine,exact
Belmont,Belmont,exact
Bethune Cookman,Bethune-Cook.,fuzzy
Binghamton,Binghamton,exact
Boise St.,Boise St.,exact
Boston College,Boston College,exact
Boston University,Boston U.,fuzzy
Bowling Green,Bowling Green,exact
Bradley,Bradley,exact
Brown,Brown,exact
Bryant,Bryant,exact
Bucknell,Bucknell,exact
Buffalo,Buffalo,exact
Butler,Butler,exact
Cal Baptist,Cal Baptist,exact
Cal Poly,Cal Poly,exact
Cal St. Bakersfield,,unmatched
Cal St. Fullerton,CS Fullerton,fuzzy
Cal St. Northridge,CSNorthridge,fuzzy
California,California,exact
Campbell,Campbell,exact
Canisius,Canisius,exact
Central Arkansas,Cent. Arkansas,fuzzy
Central Connecticut,,unmatched
Central Michigan,C. Michigan,fuzzy
Charleston,Charleston,exact
Charleston Southern,Charleston So.,fuzzy
Charlotte,Charlotte,exact
Chattanooga,Chattanooga,exact
Chicago St.,Chicago St.,exact
Cincinnati,Cincinnati,exact
Clemson,Clemson,exact
Cleveland St.,Clev. St.,fuzzy
Coastal Carolina,East Carolina,fuzzy
Colgate,Colgate,exact
Colorado,Colorado,exact
Colorado St.,Colorado,fuzzy
Columbia,Columbia,exact
Connecticut,,unmatched
Coppin St.,Coppin St.,exact
Cornell,Cornell,exact
Creighton,Creighton,exact
Dartmouth,Dartmouth,exact
Davidson,Davidson,exact
Dayton,Dayton,exact
DePaul,DePaul,exact
Delaware,Delaware,exact
Delaware St.,Delaware St.,exact
Denver,Denver,exact
Detroit Mercy,Detroit,fuzzy
Drake,Drake,exact
Drexel,Drexel,exact
Duke,Duke,exact
Duquesne,Duquesne,exact
East Carolina,East Carolina,exact
East Tennessee St.,Tennessee,fuzzy
East Texas A&M,East Texas A&M,exact
Eastern Illinois,E. Illinois,fuzzy
Eastern Kentucky,E. Kentucky,fuzzy
Eastern Michigan,E. Michigan,fuzzy
Eastern Washington,E. Washington,fuzzy
Elon,Elon,exact
Evansville,Evansville,exact
FIU,FIU,exact
Fairfield,Fairfield,exact
Fairleigh Dickinson,,unmatched
Florida,Florida,exact
Florida A&M,Florida A&M,exact
Florida Atlantic,Florida St.,fuzzy
Florida Gulf Coast,Florida St.,fuzzy
Florida St.,Florida St.,exact
Fordham,Fordham,exact
Fresno St.,Fresno St.,exact
Furman,Furman,exact
Gardner Webb,Gardner-Webb,fuzzy
George Mason,George Mason,exact
George Washington,George Wash.,fuzzy
Georgetown,Georgetown,exact
Georgia,Georgia,exact
Georgia Southern,Ga. Southern,fuzzy
Georgia St.,Georgia St.,exact
Georgia Tech,Georgia,fuzzy
Gonzaga,Gonzaga,exact
Grambling St.,Grambling St.,exact
Grand Canyon,Grand Canyon,exact
Green Bay,Green Bay,exact
Hampton,Hampton,exact
Harvard,Harvard,exact
Hawaii,Hawaii,exact
High Point,High Point,exact
Hofstra,Hofstra,exact
Holy Cross,Holy Cross,exact
Houston,Houston,exact
Houston Christian,Houston Chr.,fuzzy
Howard,Howard,exact
IU Indy,IUI,fuzzy
Idaho,Idaho,exact
Idaho St.,Idaho St.,exact
Illinois,Illinois,exact
Illinois Chicago,Illinois,fuzzy
Illinois St.,Illinois St.,exact
Incarnate Word,Incarnate Word,exact
Indiana,Indiana,exact
Indiana St.,Indiana St.,exact
Iona,Iona,exact
Iowa,Iowa,exact
Iowa St.,Iowa St.,exact
Jackson St.,Jackson St.,exact
Jacksonville,Jacksonville,exact
Jacksonville St.,Jacksonville,fuzzy
James Madison,James Madison,exact
Kansas,Kansas,exact
