team_id,cbs_name,kenpom_rank,adj_em,adj_o,adj_d,as_of_date,source,schema_version
Duke,Duke,1,38.16,128.5487560278291,90.38838583833896,2026-03-04,barttorvik,1.0
Michigan,Michigan,2,38.28,129.0956386046374,90.816430802969,2026-03-04,barttorvik,1.0
Arizona,Arizona,3,35.2,125.79280175538247,90.59110345363933,2026-03-04,barttorvik,1.0
Florida,Florida,4,34.71,126.4614207526106,91.75206637753422,2026-03-04,barttorvik,1.0
Houston,Houston,5,34.02,126.52086294592034,92.50222577536792,2026-03-04,barttorvik,1.0
Illinois,Illinois,6,34.85,132.44930344049945,97.5989993181266,2026-03-04,barttorvik,1.0
Purdue,Purdue,7,31.33,130.71267080787396,99.38099446442914,2026-03-04,barttorvik,1.0
Connecticut,,8,29.63,124.37254538502995,94.74641381965387,2026-03-04,barttorvik,1.0
Iowa St.,Iowa St.,9,28.18,122.86907399815225,94.6872825272799,2026-03-04,barttorvik,1.0
Texas Tech,Texas Tech,10,28.72,127.06849640615374,98.35083673065418,2026-03-04,barttorvik,1.0
Michigan St.,Michigan St.,11,27.41,121.39436403749146,93.98588311780976,2026-03-04,barttorvik,1.0
Tennessee,Tennessee,12,26.85,122.02014058765351,95.17244435009215,2026-03-04,barttorvik,1.0
Gonzaga,Gonzaga,13,26.18,120.35306564569814,94.17640525539983,2026-03-04,barttorvik,1.0
Louisville,Louisville,14,26.46,124.2318235616722,97.7703030435211,2026-03-04,barttorvik,1.0
Kansas,Kansas,15,24.92,118.88188779185165,93.9572714072779,2026-03-04,barttorvik,1.0
Virginia,Virginia,16,25.25,121.13561223216504,95.88484960572484,2026-03-04,barttorvik,1.0
Nebraska,Nebraska,17,24.54,118.06794555326995,93.52426281318472,2026-03-04,barttorvik,1.0
Vanderbilt,Vanderbilt,18,25.91,124.81443271375015,98.90799677443007,2026-03-04,barttorvik,1.0
Alabama,Alabama,19,26.87,129.59610270009233,102.72492592225585,2026-03-04,barttorvik,1.0
Arkansas,Arkansas,20,25.55,127.94805573869397,102.40165458632609,2026-03-04,barttorvik,1.0
St. John's,St. John's,21,23.36,118.33019163065926,94.96785319447218,2026-03-04,barttorvik,1.0
Wisconsin,Wisconsin,22,22.85,125.26376515964117,102.41085059423224,2026-03-04,barttorvik,1.0
Saint Mary's,Saint Mary's,23,21.78,119.42077387365325,97.6394533315801,2026-03-04,barttorvik,1.0
North Carolina,N. Carolina,24,22.11,122.26699452923214,100.15549480157989,2026-03-04,barttorvik,1.0
Iowa,Iowa,25,21.96,122.30660666085498,100.34402358281167,2026-03-04,barttorvik,1.0
Cincinnati,Cincinnati,26,19.8,113.48167160490357,93.67845408767514,2026-03-04,barttorvik,1.0
Clemson,Clemson,27,19.88,115.63165698380541,95.74832379704105,2026-03-04,barttorvik,1.0
Ohio St.,Ohio St.,28,21.08,123.77645226841713,102.69476993362136,2026-03-04,barttorvik,1.0
UCLA,UCLA,29,20.89,122.99618591237822,102.10286847936982,2026-03-04,barttorvik,1.0
Saint Louis,Saint Louis,30,20.5,121.1124748885533,100.60844604733859,2026-03-04,barttorvik,1.0
Santa Clara,Santa Clara,31,20.7,123.42657413122072,102.73061172637622,2026-03-04,barttorvik,1.0
Texas A&M,Texas A&M,32,20.36,121.56434719817496,101.2078379878366,2026-03-04,barttorvik,1.0
Kentucky,Kentucky,33,19.99,120.48497758510152,100.49660470076921,2026-03-04,barttorvik,1.0
Georgia,Georgia,34,20.52,124.83195941151666,104.31314061073508,2026-03-04,barttorvik,1.0
Indiana,Indiana,35,20.18,122.92590769342354,102.74506222022174,2026-03-04,barttorvik,1.0
N.C. State,NC State,36,20.1,122.95513061056448,102.85980719272584,2026-03-04,barttorvik,1.0
Utah St.,Utah St.,37,19.98,123.17270813748297,103.18801662762111,2026-03-04,barttorvik,1.0
Villanova,Villanova,38,19.16,119.69471542929094,100.53607464113921,2026-03-04,barttorvik,1.0
Texas,Texas,39,20.26,126.61925581227848,106.36023885933703,2026-03-04,barttorvik,1.0
Miami FL,Miami,40,18.93,119.9154680134408,100.98378247513783,2026-03-04,barttorvik,1.0
BYU,BYU,41,19.33,124.47596084962535,105.14601377864744,2026-03-04,barttorvik,1.0
SMU,SMU,42,19.3,125.31894757657076,106.01517925020195,2026-03-04,barttorvik,1.0
Auburn,Auburn,43,18.91,125.27315251060391,106.36626329253542,2026-03-04,barttorvik,1.0
San Diego St.,San Diego St.,44,16.81,113.17336863326081,96.35859236536467,2026-03-04,barttorvik,1.0
Missouri,Missouri,45,17.22,120.20379991339956,102.98313606827267,2026-03-04,barttorvik,1.0
Oklahoma,Oklahoma,46,17.07,124.08798948777351,107.01787273969212,2026-03-04,barttorvik,1.0
New Mexico,New Mexico,47,15.77,116.31034452719459,100.54260793763738,2026-03-04,barttorvik,1.0
Washington,Washington,48,15.28,116.47560933610791,101.19885109782427,2026-03-04,barttorvik,1.0
Minnesota,Minnesota,49,15.19,116.9101557863918,101.71988994112891,2026-03-04,barttorvik,1.0
UCF,UCF,50,15.79,122.464782469749,106.67272659771058,2026-03-04,barttorvik,1.0
Baylor,Baylor,51,15.35,121.82859219361842,106.47502470774954,2026-03-04,barttorvik,1.0
Virginia Tech,Virginia,52,14.73,117.3307130407959,102.59914430120915,2026-03-04,barttorvik,1.0
TCU,TCU,53,14.19,113.449745571971,99.25772977209814,2026-03-04,barttorvik,1.0
Boise St.,Boise St.,54,14.6,118.44045793009623,103.84234931411275,2026-03-04,barttorvik,1.0
South Florida,South Florida,55,14.33,117.09166074836278,102.76513964105396,2026-03-04,barttorvik,1.0
VCU,VCU,56,14.34,119.08535145433808,104.74682676644403,2026-03-04,barttorvik,1.0
Grand Canyon,Grand Canyon,57,13.21,110.52373686424511,97.31196978611734,2026-03-04,barttorvik,1.0
Arizona St.,Arizona St.,58,13.91,117.04353913147754,103.12946687509887,2026-03-04,barttorvik,1.0
Seton Hall,Seton Hall,59,12.19,107.88582741266694,95.69824452290892,2026-03-04,barttorvik,1.0
Tulsa,Tulsa,60,13.73,122.01360042679056,108.27918949512298,2026-03-04,barttorvik,1.0
USC,USC,61,12.72,113.25529466983576,100.53261031096773,2026-03-04,barttorvik,1.0
Providence,Providence,62,13.58,123.26168181430697,109.67680772695012,2026-03-04,barttorvik,1.0
Stanford,Stanford,63,12.46,115.68858319583727,103.22454358259348,2026-03-04,barttorvik,1.0
California,California,64,12.23,114.11049617822479,101.88326575411776,2026-03-04,barttorvik,1.0
West Virginia,West Virginia,65,11.73,109.63030209022719,97.90160868625318,2026-03-04,barttorvik,1.0
Florida St.,Florida St.,66,12.44,116.50311126735248,104.0590878679288,2026-03-04,barttorvik,1.0
Northwestern,Northwestern,67,12.14,115.5582608779988,103.41804809336642,2026-03-04,barttorvik,1.0
Wake Forest,Wake Forest,68,12.27,117.8747576451735,105.60546205051816,2026-03-04,barttorvik,1.0
Akron,Akron,69,12.34,118.60344844617757,106.26836546229906,2026-03-04,barttorvik,1.0
Belmont,Belmont,70,12.49,120.71319397703829,108.22122696556558,2026-03-04,barttorvik,1.0
Butler,Butler,71,11.88,118.14699340840558,106.26784083878124,2026-03-04,barttorvik,1.0
Syracuse,Syracuse,72,11.49,116.18586710569058,104.69233087477846,2026-03-04,barttorvik,1.0
LSU,LSU,73,11.64,118.68297890454566,107.0395309450318,2026-03-04,barttorvik,1.0
George Washington,George Wash.,74,11.21,119.03523773318204,107.8272858055507,2026-03-04,barttorvik,1.0
Dayton,Dayton,75,10.39,111.11489248054234,100.72160904329931,2026-03-04,barttorvik,1.0
Mississippi,,76,10.52,114.7528439721354,104.23748846989785,2026-03-04,barttorvik,1.0
Colorado,Colorado,77,10.71,117.43765662125477,106.72290692395416,2026-03-04,barttorvik,1.0
Nevada,Nevada,78,10.45,115.33115090820442,104.88365377047442,2026-03-04,barttorvik,1.0
Stephen F. Austin,SF Austin,79,10.17,113.54600631132482,103.3792777366435,2026-03-04,barttorvik,1.0
McNeese St.,McNeese,80,10.0,113.34526893496883,103.34922872392346,2026-03-04,barttorvik,1.0
Georgetown,Georgetown,81,10.05,114.56208884696744,104.50852596732437,2026-03-04,barttorvik,1.0
Miami OH,Miami,82,10.02,116.04645254017686,106.02556710576515,2026-03-04,barttorvik,1.0
Northern Iowa,Northwestern,83,9.21,107.29790337898066,98.09181450986986,2026-03-04,barttorvik,1.0
Oklahoma St.,Oklahoma,84,9.48,116.12599362629167,106.64354260556522,2026-03-04,barttorvik,1.0
Utah Valley,Utah Valley,85,8.9,111.59371230270253,102.69082314307217,2026-03-04,barttorvik,1.0
Creighton,Creighton,86,9.24,115.94643239933475,106.70442505155853,2026-03-04,barttorvik,1.0
Wichita St.,Wichita St.,87,8.73,111.51028647700386,102.78363380038991,2026-03-04,barttorvik,1.0
Marquette,Marquette,88,8.55,111.76767319359013,103.21721722037918,2026-03-04,barttorvik,1.0
Colorado St.,Colorado,89,9.0,119.12833558995382,110.13161921015694,2026-03-04,barttorvik,1.0
Oregon,Oregon,90,8.28,111.35836077739935,103.08184123985222,2026-03-04,barttorvik,1.0
DePaul,DePaul,91,7.95,108.18928615500532,100.2381869734946,2026-03-04,barttorvik,1.0
Xavier,Xavier,92,8.41,116.32439902674233,107.9148485455479,2026-03-04,barttorvik,1.0
High Point,High Point,93,8.33,116.92855799382068,108.59877414930054,2026-03-04,barttorvik,1.0
Notre Dame,Notre Dame,94,8.06,114.99742609027695,106.93797394129328,2026-03-04,barttorvik,1.0
Yale,Yale,95,8.2,118.71399712006992,110.51314101713601,2026-03-04,barttorvik,1.0
Sam Houston St.,Sam Houston,96,7.86,115.29594595449407,107.43440200358236,2026-03-04,barttorvik,1.0
Davidson,Davidson,97,7.55,111.56710427301434,104.02110159968612,2026-03-04,barttorvik,1.0
Mississippi St.,Missouri St.,98,7.47,112.96454266856442,105.49330328471765,2026-03-04,barttorvik,1.0
Wyoming,Wyoming,99,7.39,114.11617796598912,106.72982564580258,2026-03-04,barttorvik,1.0
Hofstra,Hofstra,100,7.22,112.53984015112006,105.32234550486247,2026-03-04,barttorvik,1.0
Seattle,Seattle,101,6.54,103.23693290803314,96.70041814861011,2026-03-04,barttorvik,1.0
Saint Joseph's,Saint Joseph's,102,6.68,107.10471309768916,100.4225836287522,2026-03-04,barttorvik,1.0
Illinois St.,Illinois St.,103,6.79,109.95274439884032,103.16407308982025,2026-03-04,barttorvik,1.0
Kansas St.,Kansas St.,104,6.77,111.50229938987847,104.73005478871073,2026-03-04,barttorvik,1.0
South Carolina,S. Carolina,105,6.63,111.86742157562192,105.24206736429173,2026-03-04,barttorvik,1.0
Pittsburgh,Pittsburgh,106,6.59,111.72618583828276,105.139502211268,2026-03-04,barttorvik,1.0
Pacific,Pacific,107,6.28,110.41822734115235,104.13555715261867,2026-03-04,barttorvik,1.0
St. Thomas,St. Thomas (MN),108,6.21,114.293407300914,108.08376063522982,2026-03-04,barttorvik,1.0
Utah,Utah,109,6.15,114.48715142904283,108.33723724244098,2026-03-04,barttorvik,1.0
Liberty,Liberty,110,6.09,117.40182381249068,111.31555161212779,2026-03-04,barttorvik,1.0
UC Irvine,UC Irvine,111,5.18,102.6916104934832,97.50919074510001,2026-03-04,barttorvik,1.0
Cal Baptist,Cal Baptist,112,5.24,107.04724708919261,101.80520222485315,2026-03-04,barttorvik,1.0
UNLV,UNLV,113,5.64,115.46151808693907,109.81924577955736,2026-03-04,barttorvik,1.0
Hawaii,Hawaii,114,5.2,106.72872572580432,101.52688060372762,2026-03-04,barttorvik,1.0
