source_name,cbs_name,match_confidence
Abilene Christian,Abilene Chr.,0.7857
Air Force,Air Force,1.0
AkronNCAA,Akron,0.7143
Alabama A&M,Alabama A&M,1.0
Alabama State,Alabama St.,0.8696
AlabamaNCAA,Alabama,0.7778
Albany (NY),UAlbany,0.6667
Alcorn State,Alcorn St.,0.8571
American,American,1.0
Appalachian State,LBSU,0.6061
Arizona State,Arizona St.,0.8696
ArizonaNCAA,Arizona,0.7778
Arkansas State,Arkansas St.,0.88
Arkansas-Pine Bluff,Ark.-Pine Bluff,0.9474
ArkansasNCAA,Arkansas,0.8
Army,Army,1.0
Auburn,Auburn,1.0
Austin Peay,Austin Peay,1.0
Ball State,Ball St.,0.8235
Baylor,Baylor,1.0
Bellarmine,Bellarmine,1.0
Belmont,Belmont,1.0
Bethune-Cookman,Bethune-Cook.,0.9333
Binghamton,Binghamton,1.0
Boise State,Boise St.,0.8421
Boston College,Boston College,1.0
Boston University,Boston U.,1.0
Bowling Green,Bowling Green,1.0
Bradley,Bradley,1.0
Brigham YoungNCAA,,0.0
Brown,Brown,1.0
Bryant,Bryant,1.0
Bucknell,Bucknell,1.0
Buffalo,Buffalo,1.0
Butler,Butler,1.0
Cal Poly,Cal Poly,1.0
Cal State Bakersfield,Cal-Baker.,1.0
Cal State Fullerton,CS Fullerton,0.7742
Cal State Northridge,CSNorthridge,1.0
California,California,1.0
California BaptistNCAA,Cal Baptist,0.6667
Campbell,Campbell,1.0
Canisius,Canisius,1.0
Central Arkansas,Cent. Arkansas,1.0
Central Connecticut State,,0.0
Central Michigan,C. Michigan,1.0
Charleston Southern,Charleston So.,0.8125
Charlotte,Charlotte,1.0
Chattanooga,Chattanooga,1.0
Chicago State,Chicago St.,0.8696
Cincinnati,Cincinnati,1.0
ClemsonNCAA,Clemson,0.7778
Cleveland State,Tenn. State,0.6154
Coastal Carolina,East Carolina,0.8276
Colgate,Colgate,1.0
College of Charleston,Charleston,0.6452
Colorado,Colorado,1.0
Colorado State,Colorado,0.7273
Columbia,Columbia,1.0
ConnecticutNCAA,,0.0
Coppin State,Coppin St.,0.8571
Cornell,Cornell,1.0
Creighton,Creighton,1.0
Dartmouth,Dartmouth,1.0
Davidson,Davidson,1.0
Dayton,Dayton,1.0
DePaul,DePaul,1.0
Delaware,Delaware,1.0
Delaware State,Delaware St.,0.88
Denver,Denver,1.0
Detroit Mercy,Detroit,0.7
Drake,Drake,1.0
Drexel,Drexel,1.0
DukeNCAA,Duke,0.6667
Duquesne,Duquesne,1.0
East Carolina,East Carolina,1.0
East Tennessee State,Tenn. Tech,0.7059
East Texas A&M,East Texas A&M,1.0
Eastern Illinois,S. Illinois,0.8485
Eastern Kentucky,E. Kentucky,1.0
Eastern Michigan,E. Michigan,1.0
Eastern Washington,E. Washington,1.0
Elon,Elon,1.0
Evansville,Evansville,1.0
FDU,FDU,1.0
Fairfield,Fairfield,1.0
Florida A&M,Florida A&M,1.0
Florida Atlantic,FAU,1.0
Florida Gulf Coast,FGCU,1.0
Florida International,FIU,1.0
Florida State,Florida St.,0.8696
FloridaNCAA,Florida,0.7778
Fordham,Fordham,1.0
Fresno State,Fresno St.,0.8571
FurmanNCAA,Furman,0.75
Gardner-Webb,Gardner-Webb,1.0
George Mason,George Mason,1.0
George Washington,George Wash.,0.7857
Georgetown,Georgetown,1.0
Georgia Southern,Ga. Southern,1.0
Georgia State,Georgia St.,0.8696
Georgia Tech,Ga. Tech,1.0
GeorgiaNCAA,Georgia,0.7778
GonzagaNCAA,Gonzaga,0.7778
Grambling,Grambling St.,0.8571
Grand Canyon,Grand Canyon,1.0
Green Bay,Green Bay,1.0
Hampton,Hampton,1.0
Harvard,Harvard,1.0
HawaiiNCAA,Hawaii,0.75
High PointNCAA,High Point,0.8333
HofstraNCAA,Hofstra,0.7778
Holy Cross,Holy Cross,1.0
Houston Christian,Houston Chr.,0.7857
HoustonNCAA,Houston,0.7778
HowardNCAA,Howard,0.75
IU Indy,,0.0
Idaho State,Idaho St.,0.8421
IdahoNCAA,Idaho,0.7143
Illinois State,Illinois St.,0.88
Illinois-Chicago,UIC,0.9375
IllinoisNCAA,Illinois,0.8
Incarnate Word,Incarnate Word,1.0
Indiana,Indiana,1.0
Indiana State,Indiana St.,0.8696
Iona,Iona,1.0
Iowa StateNCAA,Iowa St.,0.6667
IowaNCAA,Iowa,0.6667
Jackson State,Jackson St.,0.8696
Jacksonville,Jacksonville,1.0
Jacksonville State,Jax. State,1.0
James Madison,James Madison,1.0
Kansas City,Kansas City,1.0
Kansas State,Kansas St.,0.8571
KansasNCAA,Kansas,0.75
Kennesaw StateNCAA,Kennesaw St.,0.7586
Kent State,Kent St.,0.8235
KentuckyNCAA,Kentucky,0.8
La Salle,La Salle,1.0
Lafayette,Lafayette,1.0
Lamar,Lamar,1.0
Le Moyne,Le Moyne,1.0
LehighNCAA,Lehigh,0.75
Liberty,Liberty,1.0
Lindenwood,Lindenwood,1.0
Lipscomb,Lipscomb,1.0
Little Rock,Little Rock,1.0
Long Beach State,LBSU,1.0
Long Island UniversityNCAA,Boston U.,0.6047
Longwood,Longwood,1.0
Louisiana,Louisiana,1.0
Louisiana State,La. Tech,0.8276
Louisiana Tech,La. Tech,1.0
Louisiana-Monroe,Louisiana,0.72
LouisvilleNCAA,Louisville,0.8333
Loyola (IL),Loyola Chi.,0.64
Loyola (MD),Loyola-Md.,0.6923
Loyola Marymount,LMU,1.0
Maine,Maine,1.0
Manhattan,Manhattan,1.0
Marist,Marist,1.0
Marquette,Marquette,1.0
Marshall,Marshall,1.0
Maryland,Maryland,1.0
Maryland-Baltimore CountyNCAA,,0.0
Maryland-Eastern Shore,,0.0
Massachusetts,Massachusetts,1.0
